"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-09 05:59:54",1757397594707,"vary-ai.vercel.app/api/user-stats","GET","",-1,"r8rdt-1757397594220-53982d6d8016","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/user-stats","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",-1,"iad1",-1,-1,"✅ [UserStats] User statistics: {
  totalUsers: 49,
  activeUsers: 17,
  newUsers24h: 12,
  totalGenerations: 459
}","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGYC6VHGABCTXRMB3DCFGQ","",-1
"2025-09-09 05:59:54",1757397594351,"vary-ai.vercel.app/api/user-stats","GET","",-1,"r8rdt-1757397594220-53982d6d8016","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/user-stats","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",-1,"iad1",-1,-1,"📊 [UserStats] Time ranges: {
  now: '2025-09-09T05:59:54.350Z',
  twentyFourHoursAgo: '2025-09-08T05:59:54.350Z',
  sevenDaysAgo: '2025-09-02T05:59:54.350Z',
  thirtyDaysAgo: '2025-08-10T05:59:54.350Z'
}","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGYC6VHGABCTXRMB3DCFGQ","",-1
"2025-09-09 05:59:54",1757397594350,"vary-ai.vercel.app/api/user-stats","GET","",-1,"r8rdt-1757397594220-53982d6d8016","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/user-stats","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",-1,"iad1",-1,-1,"🔍 [UserStats] Environment check: { hasSupabaseUrl: true, hasSupabaseKey: true }","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGYC6VHGABCTXRMB3DCFGQ","",-1
"2025-09-09 05:59:54",1757397594350,"vary-ai.vercel.app/api/user-stats","GET","",-1,"r8rdt-1757397594220-53982d6d8016","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/user-stats","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",-1,"iad1",-1,-1,"📊 [UserStats] Fetching comprehensive user statistics...","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGYC6VHGABCTXRMB3DCFGQ","",-1
"2025-09-09 05:59:54",1757397594335,"vary-ai.vercel.app/api/fal-balance","GET","",-1,"bt49b-1757397594214-68b3934ed9c0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/fal-balance","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",-1,"iad1",-1,-1,"🚨 LOW BALANCE ALERT: Balance below $50 threshold!","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGSRFMCXCQBCKM3Z9JTK5A","",-1
"2025-09-09 05:59:54",1757397594335,"vary-ai.vercel.app/api/fal-balance","GET","",-1,"bt49b-1757397594214-68b3934ed9c0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/fal-balance","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",-1,"iad1",-1,-1,"💰 Using fal.com balance: $43.51 (Status: healthy)","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGSRFMCXCQBCKM3Z9JTK5A","",-1
"2025-09-09 05:59:54",1757397594335,"vary-ai.vercel.app/api/fal-balance","GET","",-1,"bt49b-1757397594214-68b3934ed9c0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/fal-balance","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",-1,"iad1",-1,-1,"📦 Using cached balance data","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGSRFMCXCQBCKM3Z9JTK5A","",-1
"2025-09-09 05:59:54",1757397594331,"vary-ai.vercel.app/api/user-stats","GET","",200,"r8rdt-1757397594220-53982d6d8016","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/user-stats","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",365,"iad1",154,2048,"","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGYC6VHGABCTXRMB3DCFGQ","gDURqAFM8Vmt",1
"2025-09-09 05:59:54",1757397594330,"vary-ai.vercel.app/api/fal-balance","GET","",200,"bt49b-1757397594214-68b3934ed9c0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/fal-balance","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",4,"iad1",128,2048,"","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGSRFMCXCQBCKM3Z9JTK5A","3zGhDn6WSAL9",2
"2025-09-09 05:59:51",1757397591372,"vary-ai.vercel.app/api/fal-balance","GET","",-1,"tmzmg-1757397591212-03edfafdee8f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api/fal-balance","vary-ai.vercel.app","vary-ai.vercel.app","dpl_6CSL8RkxPS73FjSPqmdF2DtKomZe",-1,"iad1",-1,-1,"🚨 LOW BALANCE ALERT: Balance below $50 threshold!","prj_uz49tLGNGBlxYODX1Dt1L4Rel0tv","","","01K4PGSRFMCXCQBCKM3Z9JTK5A","",-1
