"day","currency","sales","refunds","disputes","disputes_won","other_adjustments","total_gross_activity","customers_count","sales_count","refund_count","dispute_count","disputes_won_count"
"2025-09-08","usd","30.000000","0.000000","0.000000","0.000000","-0.150000","29.850000","2","2","0","0","0"
"2025-09-07","usd","561.000000","0.000000","0.000000","0.000000","-2.840000","558.160000","10","10","0","0","0"
"2025-09-06","usd","15.000000","0.000000","0.000000","0.000000","-0.070000","14.930000","2","2","0","0","0"
"2025-09-05","usd","52.000000","0.000000","0.000000","0.000000","-0.250000","51.750000","6","6","0","0","0"
